ev,eps1
1.5,6.937175945153819
1.55,6.969221562301504
1.6,7.012505281422557
1.65,7.060841030735819
1.7,7.08824182598626
1.75,7.1601866702248875
1.8,7.221257311175189
1.85,7.235300935856948
1.9,7.266857329249312
1.95,7.358059996095568
2.0,7.347867013829533
2.05,7.423535179933044
2.1,7.52154072566852
2.15,7.569750314155804
2.2,7.661760796411117
2.25,7.702922050684551
2.3,7.766532657004653
2.35,7.790336048512292
2.4,7.801065319534186
2.45,7.881213968607711
2.5,7.973905890982226
2.55,8.019161907273215
2.6,8.106289393187318
2.65,8.164780889888199
2.7,8.2345021947707
2.75,8.354537639993804
2.8,8.387220657358782
2.85,8.489549785702302
2.9,8.550645782163887
2.95,8.66905059626781
3.0,8.89633186086232
3.05,8.990161469475323
3.1,9.200102063544804
3.15,9.406091449848832
3.2,9.533410762421148
3.25,9.767152025247464
3.3,9.99101641801225
3.35,10.234970555936464
3.4,10.486064910164421
3.45,10.792673988278104
3.5,11.097022201291116
3.55,11.427018243345152
3.6,11.7465556032031
3.65,12.24723252035087
3.7,12.699731513074514
3.75,13.18639762172064
3.8,13.363800028288198
3.85,13.125412805743016
3.9,11.924127395836248
3.95,10.227185825381618
4.0,9.234048472957657
4.05,9.157264071890564
4.1,9.120250418407833
4.15,9.150824233818568
4.2,8.973046303989129
4.25,9.108847646635285
4.3,9.138645077248505
4.35,9.105308038064814
4.4,8.934102777177172
4.45,8.824964969519373
4.5,8.787593000317788
4.55,8.74025073989499
4.6,8.702102398972414
4.65,8.539259690804784
4.7,8.505970760819967
4.75,8.40199631797672
4.8,8.413444027950229
4.85,8.349098894005639
4.9,8.321415919677355
4.95,8.475299267308516
5.0,8.730841603600451
