ev,eps1
1.5,6.696881523760624
1.55,6.753496084770384
1.6,6.772064711742849
1.65,6.843109495390564
1.7,6.888047742665747
1.75,6.912754381123438
1.8,6.933817208003657
1.85,6.988083686448483
1.9,7.025881587210053
1.95,7.111520921073739
2.0,7.123842270241494
2.05,7.161595573293599
2.1,7.196233202925028
2.15,7.2692839501241595
2.2,7.3255996510477885
2.25,7.379982954815531
2.3,7.448894698336166
2.35,7.5165111078396505
2.4,7.607276803504399
2.45,7.689676940999819
2.5,7.751709730246987
2.55,7.859831272755543
2.6,8.00213051253064
2.65,8.045555550447318
2.7,8.160382623812138
2.75,8.292974622685975
2.8,8.377035357642251
2.85,8.539224405732291
2.9,8.621088750135135
2.95,8.755630071011781
3.0,8.914696482283192
3.05,9.07633073135886
3.1,9.231051735668256
3.15,9.477298594536732
3.2,9.567319855144362
3.25,9.742043002834798
3.3,10.023783300172312
3.35,10.27955275260657
3.4,10.454502219299481
3.45,10.700111808625062
3.5,11.031131090745376
3.55,11.332868024991885
3.6,11.644943506671387
3.65,12.011955611884282
3.7,12.459109093519073
3.75,13.036703831641432
3.8,13.624944042656859
3.85,14.23965617266471
3.9,14.658713331923472
3.95,14.47161042586493
4.0,12.658233757901353
4.05,11.02985042695054
4.1,10.693295660276396
4.15,10.666296258958731
4.2,10.630570855555144
4.25,10.674412415541761
4.3,10.793166423611554
4.35,10.920832177438957
4.4,10.969042525496825
4.45,10.982371213008067
4.5,11.04023674420665
4.55,11.009649711877133
4.6,11.057509985072988
4.65,11.052337949288656
4.7,11.11682641375684
4.75,11.203251138722733
4.8,11.294030391843942
4.85,11.495727191505523
4.9,11.856200033241329
4.95,12.101598850878633
5.0,12.410074740653373
