ev,eps1
1.5,6.9905
1.55,7.0382
1.6,7.0858
1.65,7.1335
1.7,7.1812
1.75,7.2289
1.8,7.2766
1.85,7.3243
1.9,7.372
1.95,7.4196
2.0,7.4587
2.05,7.5079
2.1,7.5795
2.15,7.6633
2.2,7.7449
2.25,7.8066
2.3,7.8374
2.35,7.8513
2.4,7.882
2.45,7.9511
2.5,8.0473
2.55,8.1249
2.6,8.2026
2.65,8.2803
2.7,8.3579
2.75,8.4356
2.8,8.5133
2.85,8.5909
2.9,8.6686
2.95,8.7463
3.0,8.9964
3.05,9.1126
3.1,9.3172
3.15,9.4889
3.2,9.6638
3.25,9.8808
3.3,10.118
3.35,10.353
3.4,10.612
3.45,10.881
3.5,11.217
3.55,11.563
3.6,11.92
3.65,12.366
3.7,12.853
3.75,13.297
3.8,13.557
3.85,13.279
3.9,12.096
3.95,10.34
4.0,9.3192
4.05,9.2369
4.1,9.2324
4.15,9.2283
4.2,9.0955
4.25,9.212
4.3,9.2306
4.35,9.184
4.4,9.0526
4.45,8.8984
4.5,8.8797
4.55,8.8363
4.6,8.7701
4.65,8.645
4.7,8.5958
4.75,8.4759
4.8,8.4915
4.85,8.413
4.9,8.3984
4.95,8.5874
5.0,8.8006
