ev,eps1
1.5,6.7301
1.55,6.7502
1.6,6.7901
1.65,6.83
1.7,6.8699
1.75,6.908
1.8,6.9456
1.85,6.9833
1.9,7.0248
1.95,7.0718
2.0,7.1189
2.05,7.166
2.1,7.2199
2.15,7.2754
2.2,7.3309
2.25,7.3864
2.3,7.4635
2.35,7.5407
2.4,7.6179
2.45,7.6967
2.5,7.7828
2.55,7.8689
2.6,7.955
2.65,8.0478
2.7,8.1427
2.75,8.2553
2.8,8.3821
2.85,8.509
2.9,8.6358
2.95,8.7635
3.0,8.8912
3.05,9.0428
3.1,9.2484
3.15,9.4289
3.2,9.5979
3.25,9.7939
3.3,10.022
3.35,10.252
3.4,10.482
3.45,10.755
3.5,11.035
3.55,11.355
3.6,11.7
3.65,12.063
3.7,12.515
3.75,13.076
3.8,13.559
3.85,14.182
3.9,14.736
3.95,14.439
4.0,12.66
4.05,11.017
4.1,10.723
4.15,10.66
4.2,10.622
4.25,10.721
4.3,10.822
4.35,10.889
4.4,10.93
4.45,10.99
4.5,11.002
4.55,11.003
4.6,11.004
4.65,11.029
4.7,11.071
4.75,11.175
4.8,11.295
4.85,11.476
4.9,11.788
4.95,12.091
5.0,12.363
