ev,eps1
1.5,6.6634372654790734
1.55,6.657917937333063
1.6,6.714958447204662
1.65,6.736702087384767
1.7,6.788970485456371
1.75,6.843659147465869
1.8,6.8618207400470235
1.85,6.896222017528243
1.9,6.954624892135348
1.95,6.969452196442236
2.0,7.037686885724267
2.05,7.066733475107992
2.1,7.115655140711469
2.15,7.1933214230019935
2.2,7.224666450660107
2.25,7.321138600721628
2.3,7.387075818534136
2.35,7.472604670453621
2.4,7.5444028947509825
2.45,7.585591689127828
2.5,7.676208294956095
2.55,7.772301818127277
2.6,7.855742188742496
2.65,7.942263598557979
2.7,8.063715055486426
2.75,8.146690292451575
2.8,8.29278445094522
2.85,8.403601110365237
2.9,8.568804969094037
2.95,8.692894745550689
3.0,8.802691797915891
3.05,8.932171690177551
3.1,9.152978334705633
3.15,9.329404298554843
3.2,9.45877377763989
3.25,9.677846183333202
3.3,9.879322545065946
3.35,10.162861656645006
3.4,10.387517531027095
3.45,10.618342938500799
3.5,10.90739987540572
3.55,11.23162760588068
3.6,11.553954609816559
3.65,11.929087061604895
3.7,12.414015182598321
3.75,12.897242391361205
3.8,13.403927081216295
3.85,13.983453225200812
3.9,14.600498879513227
3.95,14.293742622146084
4.0,12.474013349510358
4.05,10.890296587730202
4.1,10.611690229458912
4.15,10.523609166651948
4.2,10.46433384377856
4.25,10.598895356840858
4.3,10.664076636150794
4.35,10.790652349765422
4.4,10.835338201309117
4.45,10.896080784860018
4.5,10.874796711948688
4.55,10.853031865172275
4.6,10.890722810131306
4.65,10.887022916566467
4.7,10.909687988952896
4.75,11.051065954962068
4.8,11.144127684966664
4.85,11.356284900236753
4.9,11.695566604899362
4.95,11.919420577921342
5.0,12.230573704703328
