raman_shift_cm-1,intensity_au
308.931854248,205.41104126
310.681396484,168.337417603
312.430938721,143.286010742
314.180480957,121.382774353
315.930023193,114.91027832
317.67956543,129.822097778
319.429107666,130.021347046
321.178649902,119.856666565
322.928161621,116.99092865
324.677703857,114.240364075
326.427246094,127.830131531
328.17678833,126.317443848
329.926330566,118.328941345
331.675872803,131.655838013
333.425415039,130.955871582
335.174957275,121.056869507
336.924499512,122.517196655
338.674041748,132.536224365
340.423583984,133.551391602
342.173126221,143.81741333
343.922637939,154.314987183
345.672180176,219.455276489
347.421722412,378.062713623
349.171264648,707.258544922
350.920806885,1210.99121094
352.670349121,1858.30505371
354.419891357,2383.11230469
356.169433594,2921.94702148
357.91897583,3317.87646484
359.668518066,3588.43652344
361.418060303,3604.80908203
363.167602539,3535.05200195
364.917114258,3309.25683594
366.666656494,2921.7331543
368.41619873,2516.80419922
370.165740967,2035.77526855
371.915283203,1547.1060791
373.664825439,1099.31420898
375.414367676,744.221618652
377.163909912,504.375152588
378.913452148,389.116699219
380.662994385,329.548034668
382.412536621,291.321594238
384.16204834,261.192108154
385.911590576,246.930648804
387.661132813,245.499984741
389.410675049,241.567581177
391.160217285,238.226654053
392.909759521,229.755523682
394.659301758,229.490707397
396.408843994,219.873794556
398.15838623,206.69631958
399.907928467,200.928894043
401.657470703,190.575531006
403.407012939,190.62272644
405.156524658,187.20249939
406.906066895,186.927124023
408.655609131,196.643188477
410.405151367,194.219039917
412.154693604,192.593521118
413.90423584,196.650650024
415.653778076,185.610427856
417.403320313,184.170410156
419.152862549,189.647537231
420.902404785,194.680999756
422.651947021,198.816345215
424.40145874,177.463485718
426.151000977,185.029098511
427.900543213,187.457229614
429.650085449,194.299514771
431.399627686,174.474151611
433.149169922,175.694351196
434.898712158,163.608764648
436.648254395,161.878189087
438.397796631,150.111709595
440.147338867,149.536117554
441.896881104,143.024703979
443.64642334,135.427703857
445.395935059,147.369415283
447.145477295,126.358184814
448.895019531,111.655517578
450.644561768,108.276199341
452.394104004,101.063041687
454.14364624,108.310997009
455.893188477,100.370948792
457.642730713,95.7079315186
459.392272949,109.746604919
461.141815186,106.383079529
462.891357422,94.8956222534
464.640869141,98.9052505493
466.390411377,106.249649048
468.139953613,103.060340881
469.88949585,94.4844741821
471.639038086,100.041893005
473.388580322,105.844474792
475.138122559,103.529747009
476.887664795,98.070640564
478.637207031,105.192749023
480.386749268,93.572479248
482.136291504,101.894020081
483.88583374,82.1479034424
485.635345459,84.7297744751
487.384887695,79.0818939209
489.134429932,80.6664199829
490.883972168,71.8497314453
492.633514404,67.8720245361
494.383056641,78.9462127686
496.132598877,59.4631690979
497.882141113,58.2378082275
499.63168335,68.9905548096
501.381225586,68.5523834229
503.130767822,71.2885665894
504.880279541,57.4676704407
506.629821777,55.1390533447
508.379364014,66.4588470459
510.12890625,62.534778595
511.878448486,66.4599456787
513.627990723,60.9783554077
515.377502441,57.9876785278
517.127075195,56.0425720215
518.876586914,63.9591751099
520.626159668,57.0134277344
522.375671387,59.48462677
524.125244141,56.4349517822
525.874755859,46.1195678711
527.624328613,64.9339141846
529.373840332,54.9793205261
531.123413086,52.5401878357
532.872924805,56.9409294128
534.622497559,51.060333252
536.372009277,55.9799957275
538.121520996,54.4442062378
539.87109375,51.1670227051
541.620605469,60.5
543.370178223,60.3077697754
545.119689941,52.1490859985
546.869262695,57.7728843689
548.618774414,50.0310173035
550.368347168,51.3144607544
552.117858887,59.9240074158
553.867431641,57.7886734009
555.616943359,52.9771575928
557.366455078,52.4748191833
559.116027832,53.4630889893
560.865539551,77.1039733887
562.615112305,47.7616233826
564.364624023,58.862247467
566.114196777,57.5144691467
567.863708496,63.0882759094
569.61328125,52.9634971619
571.362792969,56.9596252441
573.112365723,47.8899803162
574.861877441,60.2311019897
576.61138916,54.4284934998
578.360961914,61.8847503662
580.110473633,59.8989105225
581.860046387,53.1589050293
583.609558105,60.9318885803
585.359130859,61.5727500916
587.108642578,67.6978988647
588.858215332,65.2046813965
590.607727051,61.0832481384
592.357299805,62.2878761292
594.106811523,66.2754669189
595.856323242,65.9665908813
597.605895996,60.2029533386
599.355407715,62.0551338196
601.104980469,60.2486953735
602.854492188,65.7007446289
604.604064941,63.3570518494
606.35357666,64.5
608.103149414,63.4696006775
609.852661133,59.9637260437
611.602233887,60.7283782959
613.351745605,65.2012786865
615.101318359,60.6512565613
616.850830078,59.0552101135
618.600341797,61.2113265991
620.349914551,60.3318977356
622.09942627,61.5852775574
623.848999023,58.6066360474
625.598510742,61.8688964844
627.348083496,63.4515953064
629.097595215,65.983253479
630.847167969,72.3738708496
632.596679688,73.42137146
634.346252441,68.6758804321
636.09576416,71.941192627
637.845275879,73.8962554932
639.594848633,73.5416412354
641.344360352,63.8669052124
643.093933105,63.7539863586
644.843444824,67.7425537109
646.593017578,72.7951583862
648.342529297,70.9755401611
650.092102051,68.5699691772
651.84161377,68.4198455811
653.591186523,58.5514945984
655.340698242,62.3676681519
657.090209961,70.9805755615
658.839782715,71.863861084
660.589294434,71.173828125
662.338867188,68.6595001221
664.088378906,72.2969360352
665.83795166,74.5000076294
667.587463379,75.9380187988
669.337036133,75.0276794434
671.086547852,77.8908309937
672.836120605,81.6987533569
674.585632324,86.4440383911
676.335205078,96.7777252197
678.084716797,90.7509918213
679.834228516,100.383560181
681.58380127,98.6220474243
683.333312988,103.723251343
685.082885742,94.6064300537
686.832397461,87.5294265747
688.581970215,94.5029754639
690.331481934,89.734413147
692.081054688,73.866859436
693.830566406,78.4849243164
695.58013916,81.7534255981
697.329650879,68.6157684326
699.079162598,70.9388809204
700.828735352,62.2791748047
702.57824707,65.0972824097
704.327819824,60.1607284546
706.077331543,52.7197799683
707.826904297,65.5857391357
709.576416016,64.4370193481
711.32598877,68.3953552246
713.075500488,69.5038528442
714.825073242,73.9927368164
716.574584961,76.5082168579
718.32409668,83.8506698608
720.073669434,78.5983123779
721.823181152,83.5188064575
723.572753906,87.4566116333
725.322265625,94.8626480103
727.071838379,99.1261444092
728.821350098,101.544540405
730.570922852,104.431762695
732.32043457,106.972259521
734.070007324,103.605422974
735.819519043,101.699356079
737.569030762,95.8019714355
739.318603516,92.7500839233
741.068115234,97.156578064
742.817687988,95.2882766724
744.567199707,80.1318283081
746.316772461,75.2356033325
748.06628418,67.3464736938
749.815856934,72.2246017456
751.565368652,63.0012359619
753.314941406,57.4958114624
755.064453125,62.3868103027
756.814025879,63.5
758.563537598,55.9845809937
760.313049316,47.2513504028
762.06262207,59.1942901611
763.812133789,53.7066497803
765.561706543,58.4870071411
767.311218262,52.3331031799
769.060791016,46.2209205627
770.810302734,49.7484436035
772.559875488,47.5640106201
774.309387207,51.6428413391
776.058959961,49.9307365417
77.780.847.168,52
779.557983398,49.3252944946
781.307556152,40.7632789612
783.057067871,40.76587677
784.806640625,41.2728767395
786.556152344,42.9778785706
788.305725098,39.6279754639
790.055236816,44.0455513
791.80480957,50.4547767639
793.554321289,49.0243301392
795.303894043,42.5429611206
797.053405762,40.7210006714
798.80291748,46.1059455872
800.552490234,52.0000038147
802.302001953,48.7775917053
804.051574707,54.120223999
805.801086426,45.055809021
807.55065918,50.4271965027
809.300170898,48.1573257446
811.049743652,52.5936660767
812.799255371,46.8013267517
814.548828125,45.5
816.298339844,47.3312034607
818.047912598,51.3034095764
819.797424316,42.6236114502
821.546936035,33.2490348816
823.296508789,44.9151077271
825.046020508,43.5925254822
826.795593262,43.7337760925
828.54510498,38.8282699585
830.294677734,41.3022079468
832.044189453,44.9728965759
833.793762207,46.2264976501
835.543273926,42.5476837158
837.29284668,37.9151992798
839.042358398,41.3072891235
840.791870117,44.1691398621
842.541442871,47.8090858459
844.29095459,45.7528419495
846.040527344,47.4552154541
847.790039063,46.5481491089
849.539.611.816,44
851.289123535,44.3263626099
853.038696289,42.7700042725
854.788208008,46.7546768188
856.537780762,44.644203186
858.28729248,49.575553894
860.036804199,44.2005081177
861.786376953,42.1097755432
863.535888672,38.742641449
865.285461426,44.8140106201
867.034973145,43.4386672974
868.784545898,38.7133979797
870.534057617,43.2099647522
872.283630371,49.5915756226
874.03314209,47.5335578918
875.782714844,48.7927284241
877.532226563,43.7179031372
879.281738281,42.8635063171
881.031311035,45.4817314148
882.780822754,44.6941184998
884.530395508,41.5508308411
886.279907227,42.217048645
888.02947998,44.3767547607
889.778991699,39.8777313232
891.528564453,38.3951416016
893.278076172,43.5148696899
895.027648926,45.1124916077
896.777160645,43.7615394592
898.526733398,46.2404670715
900.276245117,51.9664382935
902.025756836,44.2730407715
903.77532959,46.2124786377
905.524841309,43.6103820801
907.274414063,49.4736061096
909.023925781,46.2817611694
910.773498535,43.7062911987
912.523010254,53.7655258179
914.272583008,47.6542892456
916.022094727,41.5655555725
917.77166748,43.6234588623
919.521179199,42.6910820007
921.270690918,50.9904022217
923.020263672,46.6464424133
924.769775391,53.3195838928
926.519348145,46.9823875427
928.268859863,39.7955970764
930.018432617,51.453994751
931.767944336,49.7797164917
933.51751709,46.7203445435
935.267028809,49.6921615601
937.016601563,52.13646698
938.766113281,39.9067459106
940.515625,41.2133598328
942.265197754,31.822473526
944.014709473,40.0883255005
945.764282227,44.7244758606
947.513793945,41.8340530396
949.263366699,48.424621582
951.012878418,50.6107521057
952.762451172,51.1362075806
954.511962891,51.338054657
956.261535645,45.3603286743
958.011047363,42.8399353027
959.760559082,51.0404396057
961.510131836,40.9506187439
963.259643555,40.5977592468
965.009216309,41.2185745239
966.758728027,48.8572425842
968.508300781,46.4310951233
970.2578125,40.8105354309
972.007385254,45.5283622742
973.756896973,42.880279541
975.506469727,49.6897163391
977.255981445,54.7964935303
979.005554199,40.4059143066
980.755065918,45.938533783
982.504577637,45.5
984.254150391,43.4020080566
986.003662109,41.8329162598
987.753234863,48.6339683533
989.502746582,40.0983543396
991.252319336,43.4481544495
993.001831055,43.8170852661
994.751403809,285.8040618896
996.500915527,290.6254005432
998.250488281,295.7515716553
1000,300.3908348083
