raman_shift_cm-1,intensity_au
50,37.1493759155
51.7495384216,41.4155235291
53.499080658,41.0347366333
55.2486190796,46.2739830017
569.981.575.012,47
58.7476997375,46.2227859497
60.4972381592,53.6271018982
62.2467765808,67.9966659546
63.9963150024,106.986984253
65.7458572388,165.306930542
67.4953994751,223.491287231
69.244934082,290.765991211
70.9944763184,340.772705078
72.7440109253,328.632446289
74.4935531616,303.405761719
76.2430953979,312.47064209
77.9926300049,303.363311768
79.7421722412,318.181365967
81.4917144775,285.230712891
83.2412490845,248.007141113
84.9907913208,177.485473633
86.7403335571,126.993095398
88.4898681641,84.0397262573
90.2394104004,70.7532272339
91.9889526367,62.2863578796
93.7384872437,56.9943466187
95.48802948,56.3772392273
97.2375717163,57.2082328796
98.9871063232,60.806968689
100.73664856,59.1168937683
102.486190796,56.4305992126
104.235725403,61.4942131042
105.985267639,68.1707077026
107.734809875,68.2713241577
109.484344482,65.419921875
111.233886719,64.3294067383
112.983428955,62.5172996521
114.732963562,62.3990745544
116.482505798,73.2231826782
118.232040405,74.618598938
119.981582642,66.19556427
121.731124878,56.7242431641
123.480659485,59.8310890198
125.230201721,70.3537597656
126.979743958,64.3672561646
128.729278564,73.4439239502
130.478820801,57.3708839417
132.228363037,58.9758110046
133.977905273,77.7397613525
135.72744751,72.7942504883
137.476974487,69.3430252075
139.226516724,65.6376647949
140.97605896,67.4126434326
142.725601196,71.961227417
144.475143433,84.1381149292
146.22467041,85.411567688
147.974212646,74.0403900146
149.723754883,71.6972961426
151.473.297.119,72
153.222839355,76.8571548462
154.972381592,87.3634872437
156.721908569,90.9540786743
158.471450806,106.971603394
160.220993042,116.461753845
161.970535278,103.710762024
163.720077515,137.509918213
165.469619751,144.184661865
167.219146729,149.46975708
168.968688965,165.74520874
170.718231201,184.837600708
172.467773438,204.066894531
174.217315674,252.225952148
175.96685791,349.872039795
177.716384888,591.643615723
179.465927124,1063.37158203
181.21546936,1582.08886719
182.965011597,2370.30053711
184.714553833,3351.95507813
186.464080811,4064.22070313
188.213623047,4147.73193359
189.963165283,3804.2331543
191.71270752,3378.52197266
193.462249756,2935.17578125
195.211791992,2433.2175293
196.96131897,1859.85107422
198.710861206,1266.68273926
200.460403442,787.834106445
202.209945679,517.561462402
203.959487915,384.534393311
205.709030151,360.410308838
207.458557129,322.850219727
209.208099365,360.280853271
210.957641602,358.725067139
212.707183838,363.084838867
214.456726074,400.429107666
216.206268311,389.790863037
217.955795288,391.379516602
219.705337524,376.549285889
221.454879761,354.929443359
223.204421997,327.239318848
224.953964233,282.188110352
226.70350647,273.659973145
228.453033447,268.815979004
230.202575684,234.077346802
231.95211792,217.117904663
233.701660156,204.219482422
235.451202393,187.279678345
237.20072937,172.950134277
238.950271606,163.107147217
240.699813843,156.135360718
242.449356079,155.434585571
244.198898315,147.730697632
245.948440552,139.75491333
247.697967529,143.328857422
249.447509766,141.820983887
251.197052002,149.344741821
252.946594238,154.037719727
254.696136475,146.923446655
256.445678711,153.224761963
258.195220947,153.982208252
259.944763184,144.776611328
261.69430542,150.13394165
263.443817139,137.114074707
265.193359375,134.15057373
266.942901611,131.036087036
268.692443848,131.543609619
270.441986084,132.309204102
272.19152832,120.147216797
273.941070557,122.880691528
275.690612793,111.344741821
277.440155029,118.652641296
279.189697266,127.845916748
280.939239502,159.219528198
282.688751221,185.953872681
284.438293457,232.419235229
286.187835693,337.538848877
287.93737793,437.496948242
289.686920166,572.88671875
291.436462402,718.694335938
293.186004639,841.902099609
294.935546875,903.979797363
296.685089111,853.305908203
298.434631348,775.131774902
300.184173584,683.728393555
301.93371582,558.374816895
303.683227539,431.651794434
305.432769775,312.578704834
307.182312012,231.409088135
308.931854248,185.606567383
310.681396484,141.080810547
312.430938721,117.894523621
314.180480957,109.479637146
315.930023193,105.917495728
317.67956543,107.338951111
319.429107666,106.853240967
321.178649902,110.713356018
322.928161621,112.641120911
324.677703857,121.81729126
326.427246094,126.619659424
328.17678833,121.413566589
329.926330566,117.773826599
331.675872803,138.987014771
333.425415039,130.210342407
335.174957275,110.307907104
336.924499512,120.5
338.674041748,120.825973511
340.423583984,125.026252747
342.173126221,125.753929138
343.922637939,133.824768066
345.672180176,159.782928467
347.421722412,248.028778076
349.171264648,453.176086426
350.920806885,829.110107422
352.670349121,1376.73095703
